ticker,score,recommendation,entry_price,stop_loss,target_price,risk_reward,position_size_pct,gap_percent,volume_multiple,eps_surprise_pct,adr_percent,atr_percent,ma_cluster_quality,industry_rank_pct,is_disqualified,disqualification_reason,scan_date
FPH,0.0,pass,,,,,0.0,,,,3.06,3.47,moderate,,True,ADR% 3.1% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:01.308351
CMCSA,0.0,pass,,,,,0.0,,,8.05,2.99,2.86,loose,,True,ADR% 3.0% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:04:01.588193
HIG,0.0,pass,,,,,0.0,,,24.99,1.76,1.73,loose,55.6,True,ADR% 1.8% < 6.0% minimum; ATR% 1.7% < 7.0% minimum,2026-02-01 14:04:02.650043
ALGM,0.0,pass,,,,,0.0,,,2.67,5.28,5.06,loose,,True,ADR% 5.3% < 6.0% minimum; ATR% 5.1% < 7.0% minimum,2026-02-01 14:04:03.248892
HOLX,0.0,pass,,,,,0.0,,,-6.63,0.3,0.31,tight,60.0,True,ADR% 0.3% < 6.0% minimum; ATR% 0.3% < 7.0% minimum,2026-02-01 14:04:04.135380
CSW,0.0,pass,,,,,0.0,,,-27.05,4.03,4.98,loose,,True,ADR% 4.0% < 6.0% minimum; ATR% 5.0% < 7.0% minimum,2026-02-01 14:04:04.722836
BX,0.0,pass,,,,,0.0,,,10.68,2.97,3.34,moderate,30.0,True,ADR% 3.0% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:04.981357
OSK,0.0,pass,,,,,0.0,,,-3.19,3.49,3.6,loose,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.6% < 7.0% minimum,2026-02-01 14:04:05.538519
DOW,0.0,pass,,,,,0.0,,,27.47,3.63,3.85,loose,87.5,True,ADR% 3.6% < 6.0% minimum; ATR% 3.9% < 7.0% minimum,2026-02-01 14:04:05.851235
LHX,0.0,pass,,,,,0.0,,,2.44,3.01,3.13,loose,70.0,True,ADR% 3.0% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:04:07.063533
TAL,0.0,pass,,,,,0.0,10.22,4.47,243.88,4.85,5.0,tight,,True,ADR% 4.8% < 6.0% minimum; ATR% 5.0% < 7.0% minimum,2026-02-01 14:04:07.590467
CAT,0.0,pass,,,,,0.0,,,9.27,2.93,2.95,loose,66.7,True,ADR% 2.9% < 6.0% minimum; ATR% 3.0% < 7.0% minimum,2026-02-01 14:04:08.080226
CIVB,0.0,pass,,,,,0.0,,,28.21,3.51,3.34,tight,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:08.577411
GPI,0.0,pass,,,,,0.0,,,-10.65,3.02,3.52,tight,,True,ADR% 3.0% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:09.110470
INBK,0.0,pass,,,,,0.0,,,10.61,5.65,5.65,loose,,True,ADR% 5.7% < 6.0% minimum; ATR% 5.7% < 7.0% minimum,2026-02-01 14:04:10.080529
ULBI,0.0,pass,,,,,0.0,,,-131.19,5.7,5.68,loose,,True,ADR% 5.7% < 6.0% minimum; ATR% 5.7% < 7.0% minimum,2026-02-01 14:04:10.580142
PBLA,0.0,pass,,,,,0.0,,,-19.92,0.0,6.7,loose,,True,ADR% 0.0% < 6.0% minimum; ATR% 6.7% < 7.0% minimum,2026-02-01 14:04:11.293352
AAPL,0.0,pass,,,,,0.0,,,4.19,2.16,2.26,loose,83.3,True,ADR% 2.2% < 6.0% minimum; ATR% 2.3% < 7.0% minimum,2026-02-01 14:04:12.397109
CNOB,0.0,pass,,,,,0.0,,,11.77,3.23,3.29,loose,,True,ADR% 3.2% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:12.950083
BIP,0.0,pass,,,,,0.0,,,248.7,2.1,2.05,tight,,True,ADR% 2.1% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:04:13.681846
SBFG,0.0,pass,,,,,0.0,,,-0.43,3.55,3.54,tight,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:14.267506
