date,cal_12,cal_23,fly_123,cal_12_norm,cal_23_norm,fly_123_norm,roll_yield_12,xau_swap_1m,xau_swap_3m,xau_swap_6m,xau_swap_1y,cal_12_z20,cal_23_z20,fly_123_z20,cal_12_norm_z20,cal_23_norm_z20,fly_123_norm_z20,cal_12_z60,cal_23_z60,fly_123_z60,cal_12_norm_z60,cal_23_norm_z60,fly_123_norm_z60,cal_12_z120,cal_23_z120,fly_123_z120,cal_12_norm_z120,cal_23_norm_z120,fly_123_norm_z120,gc1_ret,gc2_ret,gc3_ret,cal_12_chg,cal_23_chg,fly_123_chg,cal_12_vol20,cal_23_vol20,fly_123_vol20,cal_12_vol60,cal_23_vol60,fly_123_vol60
2024-02-29,-19.90000000000009,-18.5,-1.400000000000091,-97.34383407523403,-90.49552414029253,-6.848309934941501,10.399999999999864,5.4067,5.4225,5.3619,5.1284,-0.5823105234409162,-0.8395045008658523,0.7227033556391637,0.9239558977546493,-0.34029915860158383,0.7647477004187839,-0.7659181289112674,0.7033550435460945,-0.8440854733657941,-0.33436021240657515,0.8593013045791714,-0.8324381620785152,-0.4771926588851166,1.1108012580662228,-1.037812358931885,0.4303775645650644,1.3956921252754542,-0.9998811090934934,11.999999999999773,11.900000000000091,11.799999999999727,0.09999999999968168,0.1000000000003638,-4.547473508864641e-13,1.5103851025130333,2.1406590229726703,2.5995343712616457,2.3252118547540386,5.291681992058485,6.49012548519312
2024-03-01,-20.300000000000182,-18.59999999999991,-1.7000000000002728,-97.45933593224983,-89.2977166669863,-8.161619265263537,12.779999999999745,5.4148,5.4311,5.3612,5.1186,-3.1888114585705263,-1.005809085962026,-0.12236719453324371,0.9100393206046219,0.3064043839839414,0.0013935484383626783,-2.0362028042792004,0.538120056841563,-1.1582788244304854,-0.40757055068469816,1.163959550606785,-1.1088348987462617,-1.1875429480584931,0.9273953687554399,-1.3700612968338624,0.4015671624616541,1.65965750238821,-1.2887402144547409,41.0,41.40000000000009,41.5,-0.40000000000009095,-0.09999999999990905,-0.3000000000001819,1.9339623900981109,1.9595112172505254,2.8618176042516623,2.459702338336456,5.291681992058485,6.508088839204448
2024-03-04,-20.5,-18.699999999999818,-1.800000000000182,-96.95055048995498,-88.43781922742149,-8.512731262533492,11.820000000000164,5.4331,5.4356,5.3623,5.1125,-3.078230243592292,-1.172230405732251,-0.4757405078897157,1.501034005723598,0.8075367886143978,-0.2763668123458902,-2.528855733074205,0.37445878067943184,-1.2351183780388744,-0.052522855569035874,1.3716263717085646,-1.1551073018886802,-1.5497823287858705,0.7440191847036407,-1.4845387926790155,0.5776237153876673,1.8360620016258924,-1.3698778045542617,30.600000000000364,30.800000000000182,30.90000000000009,-0.1999999999998181,-0.09999999999990905,-0.09999999999990905,2.0129318758568235,1.9595112172503868,2.8952229256965,2.476574999633693,5.294640718592196,6.509018515405573
2024-03-05,-20.59999999999991,-18.90000000000009,-1.699999999999818,-96.80269167872741,-88.8141200353381,-7.9885716433893075,13.860000000000127,5.4253,5.4268,5.3569,5.1343,-2.665329679577696,-1.5930000197844254,-0.28035800839265757,1.6049992849743262,0.7367869922801975,-0.05318225595012876,-2.647844699608812,0.07012332419283016,-1.0813574844352878,0.044119225940393046,1.2282238938033325,-0.9963422017900347,-1.722276511885809,0.38830109565913784,-1.3610494925311438,0.6320954426266322,1.7181530939038971,-1.2425297504221204,15.599999999999909,15.699999999999818,15.900000000000091,-0.09999999999990905,-0.20000000000027285,0.1000000000003638,2.0211513133798595,2.0129318758584467,2.9077935205066545,2.4816000852369124,5.310146986378153,6.51361026191024
2024-03-06,-20.600000000000364,-18.799999999999727,-1.8000000000006366,-95.89512983083524,-87.51594372910897,-8.379186101726283,10.019999999999982,5.4234,5.4275,5.3473,5.1171,-2.172454697463442,-1.2943407149613104,-0.7637916047019487,2.3303952383235793,1.673371772332549,-0.4608533998180948,-2.469396531531951,0.19931528187537487,-1.1597777762374328,0.6923389452286084,1.5450918672037657,-1.054773767909783,-1.7050850498609664,0.5495859604942158,-1.4679937635056541,0.9281040247226061,1.9883320520334387,-1.3255798575311826,16.299999999999727,16.300000000000182,16.199999999999818,-4.547473508864641e-13,0.1000000000003638,-0.10000000000081855,2.0211513133798595,2.0129318758584467,2.9077935205066545,2.476574999633646,5.310146986378186,6.5059008417518065
2024-03-07,-20.700000000000273,-18.799999999999727,-1.9000000000005457,-95.83422068722984,-87.03784294298895,-8.7963777442409,5.2199999999998,5.4198,5.4177,5.3061,5.0549,-2.084980999819376,-1.3299582265163028,-1.4015438615208768,2.0150046686169767,2.0686266704964114,-1.0673844416985687,-2.574461112869917,0.18755957085441743,-1.234100474164917,0.7590866465971892,1.612893267978785,-1.1169304473065167,-1.8812250020191157,0.5389460146539803,-1.5733062969708436,0.9479637518416901,2.054968168286582,-1.4145725091817523,7.0,7.099999999999909,7.099999999999909,-0.09999999999990905,0.0,-0.09999999999990905,2.0211513133798595,2.0211513133815355,2.9406766138720215,2.469090273695435,5.295648997533468,6.505900841751826
2024-03-08,-20.800000000000182,-19.0,-1.800000000000182,-95.45882190963621,-87.19796232130156,-8.260859588334666,6.550000000000182,5.4204,5.4163,5.2983,5.047,-1.9996871627173762,-1.9841095351525706,-1.0959617579226888,1.9960821991636524,1.8101770652718745,-0.732254993221611,-2.634611256066581,-0.11494307282215944,-1.079583904229419,1.0083695458664297,1.5071280919562313,-0.9558525426931468,-2.056533859008062,0.17976377956964582,-1.4433425082349944,1.0696430906394387,1.977104638534569,-1.2776842007776872,20.300000000000182,20.40000000000009,20.600000000000364,-0.09999999999990905,-0.20000000000027285,0.1000000000003638,2.0260669703686522,1.8906139353755915,2.7687732415571102,2.446935128976653,5.3083369032079295,6.509838707678974
2024-03-11,-21.40000000000009,-19.300000000000182,-2.099999999999909,-98.0414614591689,-88.42057038140044,-9.620891077768452,5.849999999999909,5.4275,5.4232,5.3042,5.0109,-2.685484449051393,-2.6670858177854124,-2.299269714793767,-0.3523087908263522,1.0214851059161651,-2.233754664845749,-3.641677957703598,-0.5620142106818202,-1.3788563195234573,-0.8189496800968631,1.126469722955992,-1.238256137573063,-3.1348881852273753,-0.355754622401899,-1.8066093805416565,0.23440594306126245,1.6633094700545261,-1.6144470792453491,3.099999999999909,3.699999999999818,4.0,-0.599999999999909,-0.3000000000001819,-0.29999999999972715,2.8256717878458106,2.0777771523295963,2.979879898675261,2.7151552067249995,5.34122438829294,6.5332526225841985
2024-03-12,-21.59999999999991,-19.300000000000182,-2.299999999999727,-100.07691095934796,-89.4205732183075,-10.656337741040462,7.7599999999997635,5.4303,5.4278,5.3167,5.0402,-2.4254336668814296,-2.2275256460024204,-2.479427549980682,-2.1620016392335546,0.3670776522758808,-2.6241669326438055,-3.5657973962674063,-0.5689474990187062,-1.5467101813202784,-2.137160770290923,0.8194045293073251,-1.4295971917078554,-3.423391112316267,-0.36116616046890204,-2.0448364018483183,-0.42039777091971847,1.407484358478983,-1.8738830480386626,-22.5,-22.300000000000182,-22.300000000000182,-0.1999999999998181,0.0,-0.1999999999998181,2.786678838216439,2.026066970370666,2.825671787846529,2.733836938585564,5.34122438829294,6.540820971639968
2024-03-13,-21.59999999999991,-19.59999999999991,-2.0,-99.3372914951638,-90.13939413450044,-9.197897360663353,6.390000000000327,5.4195,5.4147,5.3411,5.0799,-2.032398072664865,-2.501219214897678,-1.2852450015714003,-1.4376746450738815,-0.14546991001986173,-1.2172331086180683,-3.1849150146017853,-1.0030351170068934,-1.1631622539465205,-1.5664590960354738,0.5958697352956261,-1.0498852996307928,-3.2903952938949175,-0.8893246346951053,-1.6407134864439445,-0.17748426668771755,1.223339952948132,-1.4791463473249056,14.700000000000273,14.700000000000273,15.0,0.0,-0.29999999999972715,0.29999999999972715,2.5995343712605026,2.1483898499509846,2.6400358849234595,2.720917093647573,5.373115751716923,6.57647579622238
2024-03-14,-21.59999999999991,-19.5,-2.099999999999909,-99.89871380405935,-90.1863388508873,-9.712374953172057,5.309999999999945,5.4214,5.4165,5.3428,5.1017,-1.7546816627458313,-1.904666514845809,-1.4419742920994771,-1.7563467465733107,-0.21613099879559725,-1.46925027220373,-2.8945721483043,-0.851780516478496,-1.2326463710230653,-1.8486576263703327,0.5620224049484424,-1.1316363390390962,-3.218270363388042,-0.7105077193969158,-1.7577941322253547,-0.3553017273069629,1.2001547403898158,-1.6099973861446095,-13.300000000000182,-13.300000000000182,-13.400000000000091,0.0,0.09999999999990905,-0.09999999999990905,2.621128724322788,2.1483898499507603,2.5803304561929483,2.718168625740751,5.377287451771158,6.576475796222421
2024-03-15,-21.59999999999991,-19.5,-2.099999999999909,-100.19017579665062,-90.44946426086553,-9.740711535785097,5.599999999999909,5.4194,5.4128,5.3489,5.1129,-1.5461650868125916,-1.6561534192121286,-1.2980895563671018,-1.7577277592682832,-0.45665161023691353,-1.3408458174004116,-2.663976781791077,-0.8476946977435417,-1.1906182876387084,-1.935547075791567,0.4700353329641093,-1.100440918814875,-3.1848871125512863,-0.7064504520713628,-1.752538092467619,-0.4432190786840765,1.1264223362408903,-1.620654935451079,-6.0,-6.0,-6.0,0.0,0.0,0.0,2.621128724322891,2.0920903673756586,2.4376002003696797,2.718168625740774,5.377287451771158,6.5764757962224385
2024-03-18,-21.59999999999991,-19.699999999999818,-1.900000000000091,-99.9833361106478,-91.18850561943296,-8.794830491214848,3.9400000000000546,5.4274,5.4174,5.3547,5.1424,-1.3805079408980412,-1.8268424647805015,-0.5820582862715387,-1.4452066113294115,-1.0061122972920793,-0.5153243763354061,-2.4746160659102245,-1.125845823464562,-0.9352302529278349,-1.7248015221886204,0.24752494540797257,-0.8518043196311571,-3.0424854055920205,-1.041629187554566,-1.458533216046111,-0.3959027569375014,0.9294767871361597,-1.3365243518090375,2.800000000000182,2.800000000000182,3.0,0.0,-0.1999999999998181,0.1999999999998181,2.621128724322891,2.1483898499505636,2.5803304561929483,2.718168625740774,5.392622078483539,6.5931243076092025
2024-03-19,-21.5,-19.600000000000364,-1.8999999999996362,-99.64821861428722,-90.84209696930539,-8.806121644981836,2.1099999999996726,5.4227,5.4252,5.3789,5.1427,-1.124015039990775,-1.4411604759672823,-0.5197917719983222,-1.104937362970174,-0.7390852453282345,-0.4692122010707731,-2.1833986087058186,-0.9675673705017847,-0.9057973482688619,-1.4600119730468988,0.3335949676550462,-0.8276114827405717,-2.7550192685307917,-0.8512226943042159,-1.4328102167394143,-0.305954986672771,1.0016774234331336,-1.3184766524212481,-4.600000000000364,-4.700000000000273,-4.799999999999727,0.09999999999990905,0.0999999999994543,4.547473508864641e-13,2.6898053148090133,2.0129318758575026,2.502041271905413,2.727580414075788,5.392622078483539,6.583399770815129
2024-03-20,-21.40000000000009,-19.5,-1.900000000000091,-97.87823764287292,-89.18811374000065,-8.690123902872275,-25.389999999999873,5.4274,5.4072,5.342,5.1342,-0.8968227881397787,-1.1090267214048781,-0.44524945644466946,0.12284201903932139,0.3620464841036763,-0.29702764827109046,-1.9330915804625644,-0.8227941978576763,-0.8760990745556194,-0.3559146363266212,0.7761339193092158,-0.7739020461850468,-2.5046203342802644,-0.6622232208293092,-1.4071188770915914,0.28247655498881324,1.3984119656989362,-1.2662642994977107,1.300000000000182,1.2000000000002728,1.099999999999909,0.09999999999990905,0.1000000000003638,-4.547473508864641e-13,2.689805314809013,2.0905048496280845,2.365809086038419,2.739689454131684,5.381323635295449,6.5671602097357065
