label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label,metal
si_si_cal_12_lb120_ez2.5_xz0.5_mh5,2129,0.04,0.01,0.117,0.044,-0.39,32,0.344,0.042,-0.011,3.74,5.1,3,12,120,2.5,0.5,5,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.5_mh10,2129,0.22,0.03,0.119,0.223,-0.26,26,0.462,0.04,-0.018,2.17,11.8,3,6,120,2.5,0.5,10,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.5_mh20,2129,0.68,0.08,0.132,0.608,-0.21,24,0.625,0.053,-0.022,2.4,20.5,3,3,120,2.5,0.5,20,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.5_mh40,2129,0.65,0.08,0.141,0.546,-0.28,23,0.609,0.061,-0.043,1.43,33.9,5,3,120,2.5,0.5,40,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.0_mh5,2129,-2.28,-0.27,0.182,-1.476,-2.58,234,0.175,0.021,-0.009,2.26,4.2,4,35,20,1.0,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.0_mh10,2129,-1.07,-0.13,0.181,-0.702,-1.43,161,0.255,0.022,-0.015,1.51,8.7,6,30,20,1.0,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.0_mh20,2129,-0.76,-0.09,0.183,-0.493,-1.07,131,0.328,0.02,-0.015,1.31,13.2,7,19,20,1.0,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.0_mh40,2129,-0.57,-0.07,0.182,-0.374,-0.88,121,0.339,0.021,-0.018,1.17,15.5,7,17,20,1.0,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.5_mh5,2129,-2.3,-0.27,0.178,-1.525,-2.66,242,0.182,0.021,-0.009,2.22,4.0,4,30,20,1.0,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.5_mh10,2129,-1.35,-0.16,0.175,-0.915,-1.69,181,0.238,0.02,-0.014,1.43,7.5,4,20,20,1.0,0.5,10,si_cal_23,SI2-SI3 calendar,silver
