,gross_leverage
2019-02-22,0.5328606503765909
2019-02-23,0.5415384832287339
2019-02-24,0.5604781258682175
2019-02-25,0.5801387279077316
2019-02-26,0.5962606108643713
2019-02-27,0.6141646649531909
2019-02-28,0.6351677375312609
2019-03-01,0.6560770566743078
2019-03-02,0.6352519709313085
2019-03-03,0.6574184779631299
2019-03-04,0.6804275334880303
2019-03-05,0.6991475491205222
2019-03-06,0.7206372713653255
2019-03-07,0.7456434912644233
2019-03-08,0.7695671228414143
2019-03-09,0.794069389743504
2019-03-10,0.8221980224031059
2019-03-11,0.8514205550692144
2019-03-12,0.8696483523822864
2019-03-13,0.896885026538825
2019-03-14,0.8895979869787904
2019-03-15,0.8426903768031552
2019-03-16,0.8716464432027732
2019-03-17,0.9022482505509593
2019-03-18,0.9340229438453965
2019-03-19,0.9626164604261114
2019-03-20,0.9830271645276044
2019-03-21,1.0174150865112987
2019-03-22,1.0458255663711375
2019-03-23,1.0564497805385382
2019-03-24,1.0938972839627892
2019-03-25,1.13280870247629
2019-03-26,1.1637179624536438
2019-03-27,1.2055274925808968
2019-03-28,1.2207985312220275
2019-03-29,1.1701995102449763
2019-03-30,0.9625071304921182
2019-03-31,0.9960716253682749
2019-04-01,1.0309029321692218
2019-04-02,1.066576332918682
2019-04-03,1.103775459034155
2019-04-04,1.1307772124686952
2019-04-05,1.1671997430958057
2019-04-06,1.2085241329079146
2019-04-07,1.2513256017398446
2019-04-08,1.29578959023867
2019-04-09,1.262285857308972
2019-04-10,1.307198717718089
2019-04-11,1.3420270751900178
2019-04-12,1.1546126208831617
2019-04-13,1.1828648928898995
2019-04-14,1.2244590853095383
2019-04-15,1.26764513408885
2019-04-16,1.3116417555744952
2019-04-17,1.35647845793835
2019-04-18,1.4041480500297507
2019-04-19,1.453234431271151
2019-04-20,1.505399689656809
2019-04-21,1.5593308808792414
2019-04-22,1.6154015077477588
2019-04-23,1.612196191376105
2019-04-24,1.502327985786981
2019-04-25,1.5553303699997176
2019-04-26,1.598693948602647
2019-04-27,1.6541576795510449
2019-04-28,1.7143104397663536
2019-04-29,1.776876268524698
2019-04-30,1.841829462573904
2019-05-01,1.8407004211120215
2019-05-02,1.9080112111932526
2019-05-03,1.937027005656629
2019-05-04,1.9459635101738142
2019-05-05,1.9567643514695976
2019-05-06,1.9679067323989563
2019-05-07,1.9788804905108983
2019-05-08,1.9899055351058546
2019-05-09,2.0003605725419997
2019-05-10,2.007349516694488
2019-05-11,2.0201469807612074
2019-05-12,2.0333459079587035
2019-05-13,2.0469596415922515
2019-05-14,2.0609631334848357
2019-05-15,2.0678348936623703
2019-05-16,2.082524103603208
2019-05-17,2.0976659699389826
2019-05-18,2.107966048308193
2019-05-19,2.123926969339289
2019-05-20,2.14038940256098
2019-05-21,2.153312359019751
2019-05-22,2.1700953624034702
2019-05-23,2.1865069101950536
2019-05-24,2.199706017844838
2019-05-25,2.1961340798370683
2019-05-26,2.214839626798926
2019-05-27,2.234133712197324
2019-05-28,2.254031288967396
2019-05-29,2.262661116652297
2019-05-30,2.278209768518343
2019-05-31,2.2750851343648697
2019-06-01,2.289469214152699
2019-06-02,2.3109777218134755
2019-06-03,2.3331668858249777
2019-06-04,2.3241336752996915
2019-06-05,2.345520944080433
2019-06-06,2.2957118983524136
2019-06-07,2.3028430317200987
2019-06-08,2.3246759771655325
2019-06-09,2.3473329665997276
2019-06-10,2.370705364792276
2019-06-11,2.3850974747548044
2019-06-12,2.3759610901273667
2019-06-13,2.4000771673792953
2019-06-14,2.4126090748704674
2019-06-15,2.4374314532676986
2019-06-16,2.4631048125671824
2019-06-17,2.4896056862347957
2019-06-18,2.5175330087900636
2019-06-19,2.5403674034763957
2019-06-20,2.5334817190173866
2019-06-21,2.127745631736505
2019-06-22,2.147738781658514
2019-06-23,2.234022137869265
2019-06-24,2.3245209354734477
2019-06-25,2.21332246812524
2019-06-26,2.302248899935753
2019-06-27,2.389536661552234
2019-06-28,2.472721845471454
2019-06-29,2.4934387443707062
2019-06-30,2.531431067433196
2019-07-01,2.5598278553871547
2019-07-02,2.344387246153866
2019-07-03,2.3525487719638245
2019-07-04,1.9715058466728737
2019-07-05,2.054239507659183
2019-07-06,2.016139521385859
2019-07-07,2.1016421286732747
2019-07-08,2.1912558369666923
2019-07-09,2.2847834599027483
2019-07-10,2.33039829348583
2019-07-11,2.053044921055519
2019-07-12,2.11545153997083
2019-07-13,2.082187090028071
2019-07-14,2.166928549871194
2019-07-15,2.255855370817439
2019-07-16,2.213349471915859
2019-07-17,2.1575944235427915
2019-07-18,2.233858024543958
2019-07-19,2.2604777997192116
2019-07-20,2.1963765403814657
2019-07-21,2.2902014299669027
2019-07-22,2.3886226058040654
2019-07-23,2.387127998124124
2019-07-24,2.4913481407341296
2019-07-25,2.589675642381645
2019-07-26,2.5640747946557205
2019-07-27,2.4924564157250964
2019-07-28,2.6014610127113063
2019-07-29,2.68863588455099
2019-07-30,2.703353146263814
2019-07-31,2.7251391332347183
2019-08-01,2.733443930627358
2019-08-02,2.735025764757871
2019-08-03,2.464346477398282
2019-08-04,2.5640700704452897
2019-08-05,2.669117115253716
2019-08-06,2.7548070675494922
2019-08-07,2.7987703774365715
2019-08-08,2.836437087226558
2019-08-09,2.8751031171703496
2019-08-10,2.91433827036084
2019-08-11,2.9521701004040444
2019-08-12,2.99132113711921
2019-08-13,2.914472607353894
2019-08-14,2.916806360778146
2019-08-15,2.9581573794228153
2019-08-16,2.9999135122740292
2019-08-17,3.033621012970529
2019-08-18,3.0779384017494578
2019-08-19,3.1236715118091314
2019-08-20,3.09800703726004
2019-08-21,3.138349773096254
2019-08-22,3.1726592659468458
2019-08-23,3.220073213853945
2019-08-24,3.270562246438686
2019-08-25,3.3228405296367787
2019-08-26,3.3767680205324893
2019-08-27,3.431990740723298
2019-08-28,3.396058206781048
2019-08-29,3.4008059818132224
2019-08-30,3.4259883930032218
2019-08-31,3.473012721559273
2019-09-01,3.530374749309814
2019-09-02,3.589587805161559
2019-09-03,3.638161133763195
2019-09-04,3.5792339932549466
2019-09-05,2.8628431535142584
2019-09-06,2.9925009486468275
2019-09-07,3.087246645874492
2019-09-08,3.2160164847232555
2019-09-09,3.3522712721708348
2019-09-10,3.3996265053895076
2019-09-11,3.309006342646218
2019-09-12,3.406526704235434
2019-09-13,3.5184581557544137
2019-09-14,3.543354995068561
2019-09-15,3.637811644463755
2019-09-16,3.6972736422701806
2019-09-17,3.7601537622938284
2019-09-18,3.8195594793745653
2019-09-19,3.397604380822778
2019-09-20,3.5076323970860126
2019-09-21,3.681287173646881
2019-09-22,3.800351331939097
2019-09-23,3.868926169988145
2019-09-24,3.9063987644999156
2019-09-25,3.950049042253306
2019-09-26,3.5147276188821492
2019-09-27,3.554128011582472
2019-09-28,3.731282481736415
2019-09-29,3.917632221116963
2019-09-30,3.9999999999999996
2019-10-01,1.7045710965483163
2019-10-02,1.7567469160911542
2019-10-03,1.8162460644127219
2019-10-04,1.9013094868682576
2019-10-05,1.9767034482148222
2019-10-06,2.060866709315115
2019-10-07,2.149715910924604
2019-10-08,2.2339557937002517
2019-10-09,2.290710115115111
2019-10-10,2.33928592598467
2019-10-11,2.345521190428105
2019-10-12,2.022666057059031
2019-10-13,2.11776216200024
2019-10-14,2.217912201118699
2019-10-15,2.3133925563154856
2019-10-16,2.319087431072301
2019-10-17,2.4306925135948227
2019-10-18,2.471803293694749
2019-10-19,2.504064003521273
2019-10-20,2.6252881025975365
2019-10-21,2.7530477544424774
2019-10-22,2.841825242368301
2019-10-23,2.980979627722404
2019-10-24,3.1242422221445034
2019-10-25,3.158777019262273
2019-10-26,3.315714719296202
2019-10-27,3.481127347966035
2019-10-28,3.655659170956408
2019-10-29,3.4073803027527623
2019-10-30,3.125225812659116
2019-10-31,3.268941507781752
2019-11-01,2.709437985621672
2019-11-02,2.8220888112434976
2019-11-03,2.961247848127635
2019-11-04,3.1080061013950204
2019-11-05,3.1699890826218784
2019-11-06,2.1957621431889796
2019-11-07,2.1895380622374776
2019-11-08,2.1016016322036983
2019-11-09,2.1821240582801384
2019-11-10,2.2817272810276035
2019-11-11,2.3867076095013586
2019-11-12,2.4830477869448124
2019-11-13,2.603128633358527
2019-11-14,2.595453169463246
2019-11-15,2.550044767214201
2019-11-16,2.61725107414517
2019-11-17,2.7437075723801763
2019-11-18,2.877011047989493
2019-11-19,2.9699892884061994
2019-11-20,3.0056189485936855
2019-11-21,3.0616595707753342
2019-11-22,3.2132169629517353
2019-11-23,2.907948273292803
2019-11-24,3.0481885768415964
2019-11-25,3.1961147398156466
2019-11-26,3.3488652893246456
2019-11-27,3.500914670834772
2019-11-28,3.598838236961041
2019-11-29,3.7681931727130564
2019-11-30,2.700687875182414
2019-12-01,2.8335111334685874
2019-12-02,2.973569995078009
2019-12-03,2.8711937982574245
2019-12-04,2.8739253290711475
2019-12-05,2.828213677142565
2019-12-06,2.9675241057398916
2019-12-07,3.083557135566289
2019-12-08,3.234949677560716
2019-12-09,3.394686880421355
2019-12-10,3.48423602472755
2019-12-11,3.612219625041058
2019-12-12,3.7836972129587227
2019-12-13,3.7318115300274224
2019-12-14,3.823860129895065
2019-12-15,3.9435502427202884
2019-12-16,3.9999999999999996
2019-12-17,3.9999999999999996
2019-12-18,3.9999999999999996
2019-12-19,3.9999999999999996
2019-12-20,3.9999999999999996
2019-12-21,3.9999999999999996
2019-12-22,3.9999999999999996
2019-12-23,3.9999999999999996
2019-12-24,3.698754256196978
2019-12-25,3.721028276155571
2019-12-26,3.830665208084474
2019-12-27,3.516118254663367
2019-12-28,3.590812010395009
2019-12-29,3.7025932204796344
2019-12-30,3.8179186738249045
2019-12-31,3.9232640583173386
2020-01-01,3.9999999999999996
2020-01-02,3.9999999999999996
2020-01-03,3.9948836830432204
2020-01-04,2.2601581976211906
2020-01-05,2.357964642214411
2020-01-06,2.4613354294116596
2020-01-07,2.4207990391840104
2020-01-08,2.453430701285125
2020-01-09,1.9575452849069785
2020-01-10,1.9723645157815806
2020-01-11,2.06327550587548
2020-01-12,2.1591910340914944
2020-01-13,2.260255846065783
2020-01-14,2.0880539638740583
2020-01-15,2.1870357366986255
2020-01-16,1.729439468139493
2020-01-17,1.7871535871135797
2020-01-18,1.8600890859717527
2020-01-19,1.9416135929415825
2020-01-20,2.027479798940666
2020-01-21,2.1199907605355395
2020-01-22,2.0985918918056146
2020-01-23,2.1969406027193767
2020-01-24,2.273009766496687
2020-01-25,2.192963494100717
2020-01-26,2.2844033261733445
2020-01-27,2.380940945520107
2020-01-28,2.47906635929703
2020-01-29,2.419862743697056
2020-01-30,2.5141184591235404
2020-01-31,1.9793344425177288
2020-02-01,1.8749352838731912
2020-02-02,1.9555236172950734
2020-02-03,2.040394671880619
2020-02-04,2.021557809689864
2020-02-05,2.0653786014292024
2020-02-06,1.7116243970140366
2020-02-07,1.7581077352284025
2020-02-08,1.8158778355400114
2020-02-09,1.8884147698629468
2020-02-10,1.9648908919072747
2020-02-11,2.0499751771531813
2020-02-12,2.089889453227071
2020-02-13,2.050241348636387
2020-02-14,2.1292681569379535
2020-02-15,2.210495309125966
2020-02-16,2.297095449525706
2020-02-17,2.38861330827011
2020-02-18,2.481520673337224
2020-02-19,2.093813876120449
2020-02-20,1.9429199813008886
2020-02-21,1.9469411902987526
2020-02-22,1.9650349551268904
2020-02-23,2.0398132579160677
2020-02-24,2.1188334630470633
2020-02-25,1.3397356883503955
2020-02-26,1.0699825932699634
2020-02-27,1.09325606196407
2020-02-28,0.9803262071170218
2020-02-29,0.9086488405141814
2020-03-01,0.9408643913629204
2020-03-02,0.9745434507503788
2020-03-03,0.9092645979813627
2020-03-04,0.9371398813693103
2020-03-05,0.9537455445870548
2020-03-06,0.9855948777520025
2020-03-07,0.9965341082289079
2020-03-08,1.0336740967897609
2020-03-09,1.0724247524864152
2020-03-10,0.7749395365735956
2020-03-11,0.7831382185514172
2020-03-12,0.8048772848826286
2020-03-13,0.7534593212488759
2020-03-14,0.7799275509765059
2020-03-15,0.804062271101369
2020-03-16,0.8292499493768682
2020-03-17,0.7743819557957118
2020-03-18,0.7956788722220165
2020-03-19,0.7946407842079991
2020-03-20,0.7697108781348247
2020-03-21,0.7933407739430014
2020-03-22,0.8175005459684087
2020-03-23,0.8426413161952466
2020-03-24,0.8533937628865155
2020-03-25,0.7969220769529191
2020-03-26,0.8149812269581731
2020-03-27,0.842750695427397
2020-03-28,0.8702231300454928
2020-03-29,0.8995667241414173
2020-03-30,0.9300145560245873
2020-03-31,0.9621089285018046
2020-04-01,0.9926948967732238
2020-04-02,1.0257607745719408
2020-04-03,1.061479703264033
2020-04-04,1.0984135708155203
2020-04-05,1.1364026493598356
2020-04-06,1.1758531150106524
2020-04-07,1.2115800963341423
2020-04-08,1.2543990395500177
2020-04-09,1.2988150848236284
2020-04-10,1.3382734193201906
2020-04-11,1.3858760488641517
2020-04-12,1.4352289070273274
2020-04-13,1.4865245895837944
2020-04-14,1.5400640912919945
2020-04-15,1.5730822794394277
2020-04-16,1.6274483215573134
2020-04-17,1.686293841513075
2020-04-18,1.7473544662400031
2020-04-19,1.8112823800829412
2020-04-20,1.877800151251344
2020-04-21,0.8614401652779576
2020-04-22,0.8762891186254635
2020-04-23,0.9002705286553557
2020-04-24,0.9279264715110778
2020-04-25,0.9579078244404472
2020-04-26,0.989950719796565
2020-04-27,1.0232426922160325
2020-04-28,1.0590871953075494
2020-04-29,1.0956914687437593
2020-04-30,1.1256229233479913
2020-05-01,1.151166176994718
2020-05-02,1.1912718263570805
2020-05-03,1.2328064046246991
2020-05-04,1.27597095081352
2020-05-05,1.3210634275877116
2020-05-06,1.366409197254629
2020-05-07,1.4154724166994292
2020-05-08,1.4652485965157598
2020-05-09,1.5169253143173793
2020-05-10,1.571461143613481
2020-05-11,1.628193773258089
2020-05-12,1.6873091122350865
2020-05-13,1.7490829370258163
2020-05-14,1.8135880168544618
2020-05-15,1.8795562557216088
2020-05-16,1.9480833985201909
2020-05-17,1.9665131599225285
2020-05-18,1.9779408119868291
2020-05-19,1.9882305067395376
2020-05-20,2.000272301731476
2020-05-21,2.0127703542288793
2020-05-22,2.025653030655214
2020-05-23,2.0389902860032634
2020-05-24,2.052730375241244
2020-05-25,2.066903843879551
2020-05-26,2.081484950217587
2020-05-27,2.0955437131147345
2020-05-28,2.1110102611530683
2020-05-29,2.1269517073620636
2020-05-30,2.1435057622150735
2020-05-31,2.1605648147378815
2020-06-01,2.1781604515834836
2020-06-02,2.1959239856493515
2020-06-03,2.2141648505117035
2020-06-04,2.23312462205396
2020-06-05,2.2528956693512425
2020-06-06,2.2729856215931385
2020-06-07,2.294130370223063
2020-06-08,2.315939552765518
2020-06-09,2.338319114419663
2020-06-10,2.3612448790802136
2020-06-11,2.385163017334466
2020-06-12,2.4083521403750683
2020-06-13,2.4336872600390698
2020-06-14,2.4598789471362283
2020-06-15,2.486893725665127
2020-06-16,2.5146407423775616
2020-06-17,2.5430987931045963
2020-06-18,2.572319078021659
2020-06-19,2.602720716078473
2020-06-20,2.6337172626386924
2020-06-21,2.6661979470987407
2020-06-22,2.6996992151502988
2020-06-23,2.734009757253981
2020-06-24,2.7695063202240546
2020-06-25,2.8018528000663463
2020-06-26,2.837457973859754
2020-06-27,2.8755106192829083
2020-06-28,2.9155592235407046
2020-06-29,2.9568671062978935
2020-06-30,2.9917623383258865
2020-07-01,3.0203948938155336
2020-07-02,3.047406716920604
2020-07-03,3.0899617862910387
2020-07-04,3.136659037063241
2020-07-05,3.184761557134903
2020-07-06,3.234381097534112
2020-07-07,3.2825357189650943
2020-07-08,3.3314981285072096
2020-07-09,3.3847986158861034
2020-07-10,3.433809820226307
2020-07-11,3.48893045016449
2020-07-12,3.5478583122038914
2020-07-13,3.608650959852121
2020-07-14,3.606592843330105
2020-07-15,3.668884060156904
2020-07-16,3.7194719783092833
2020-07-17,3.786065780135616
2020-07-18,3.8546378309435263
2020-07-19,3.9252645543624785
2020-07-20,3.998117119286127
2020-07-21,3.9999999999999996
2020-07-22,3.9999999999999996
2020-07-23,3.9999999999999996
2020-07-24,3.9999999999999996
2020-07-25,3.9999999999999996
