date,nav_usd,ret_net
2023-10-26,197215128.13342512,-0.00268210487968516
2023-10-27,196617125.70239478,-0.003032234071950977
2023-10-28,196607726.6151447,-4.780401105194081e-05
2023-10-29,196598327.97720867,-4.780401105194081e-05
2023-10-30,197086874.34582967,0.00248499757677295
2023-10-31,197886853.14985028,0.004059016140348844
2023-11-01,197275951.25348228,-0.003087127247939968
2023-11-02,198845128.6795422,0.007954225621974974
2023-11-03,199276005.30357972,0.0021668955478005257
2023-11-04,199273988.73394558,-1.0119480421508517e-05
2023-11-05,199271972.18471807,-1.0119480421508517e-05
2023-11-06,199709263.41459662,0.0021944442315911267
2023-11-07,197836179.58007672,-0.009379053342314677
2023-11-08,195574368.71095097,-0.011432746396167962
2023-11-09,197250106.2021156,0.008568287870284616
2023-11-10,196569199.7960133,-0.0034519951305099278
2023-11-11,196568241.0880482,-4.8772033773238516e-06
2023-11-12,196567282.38475892,-4.8772033773238516e-06
2023-11-13,196365283.15483502,-0.0010276340369223228
2023-11-14,199797756.05970109,0.017480039494351736
2023-11-15,201208581.90950623,0.00706126974410853
2023-11-16,201503197.28608516,0.0014642286814160396
2023-11-17,203626874.89895976,0.010539175762355506
2023-11-18,203626373.22373667,-2.4636984844252476e-06
2023-11-19,203625868.65106586,-2.4779337902300245e-06
2023-11-20,204766848.85308886,0.005603316560815651
2023-11-21,205224967.18936494,0.0022372680873003984
2023-11-22,204665473.68534425,-0.0027262448213935747
2023-11-23,204882168.98959073,0.0010587780163626198
2023-11-24,206876977.81408235,0.009736371077724074
2023-11-25,206875188.35141712,-8.649887890408249e-06
2023-11-26,206873398.90423056,-8.649887890408249e-06
2023-11-27,207152449.2986617,0.0013488945215248487
2023-11-28,208762358.85889795,0.007771617307382878
2023-11-29,208641405.3236236,-0.0005793838311443034
2023-11-30,208162945.22477704,-0.0022932173894459314
2023-12-01,205830337.98225704,-0.011205679473843004
2023-12-02,205828346.57224822,-9.675007233413558e-06
2023-12-03,205826355.1815063,-9.675007233413558e-06
2023-12-04,206326780.51855323,0.002431298638143765
