feature_type,metal,bucket,feature_col,signal_col,entry_z,exit_z,max_hold,cost_bp,is_sharpe,is_maxdd,is_hitrate,is_num_trades,is_carry_frac,oos_sharpe,oos_maxdd,oos_hitrate,oos_num_trades,dd_ratio,validated
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,63,0.08,-0.2966943226859564,-11.673357655542349,0.4,15,0.18623582396680527,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902299,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,63,0.12,-0.35160418267174354,-12.457043769090493,0.4,15,0.1564940789718228,0.5700042778710483,-0.876836304541216,1.0,2,0.07038879535102051,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,126,0.08,-0.2966943226859564,-11.673357655542349,0.4,15,0.18623582396680527,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902299,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,126,0.12,-0.35160418267174354,-12.457043769090493,0.4,15,0.1564940789718228,0.5700042778710483,-0.876836304541216,1.0,2,0.07038879535102051,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,252,0.08,-0.2966943226859564,-11.673357655542349,0.4,15,0.18623582396680527,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902299,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.3,252,0.12,-0.35160418267174354,-12.457043769090493,0.4,15,0.1564940789718228,0.5700042778710483,-0.876836304541216,1.0,2,0.07038879535102051,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,20,0.08,-0.2286746847110866,-11.084092219015162,0.47368421052631576,19,0.2128206007236092,0.11827593442837157,-0.5774453768067609,0.5,2,0.05209676763750959,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,20,0.12,-0.29964388610318143,-11.96409221901516,0.3684210526315789,19,0.1617461632378051,0.01996474310059957,-0.617445376806761,0.5,2,0.05160820942398142,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,63,0.08,-0.30110972374263034,-11.67335765554235,0.4,15,0.18173258665796665,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902297,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,63,0.12,-0.3560446481959281,-12.548493088625154,0.4,15,0.1530589732706855,0.5700042778710483,-0.876836304541216,1.0,2,0.06987582479812199,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,126,0.08,-0.30110972374263034,-11.67335765554235,0.4,15,0.18173258665796665,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902297,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,126,0.12,-0.3560446481959281,-12.548493088625154,0.4,15,0.1530589732706855,0.5700042778710483,-0.876836304541216,1.0,2,0.06987582479812199,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,252,0.08,-0.30110972374263034,-11.67335765554235,0.4,15,0.18173258665796665,0.5883989369139595,-0.8768363045412155,1.0,2,0.07511431846902297,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.5,252,0.12,-0.3560446481959281,-12.548493088625154,0.4,15,0.1530589732706855,0.5700042778710483,-0.876836304541216,1.0,2,0.06987582479812199,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,20,0.08,-0.16597906101995402,-9.789458428017642,0.5263157894736842,19,0.27716779917577794,0.11827593442837157,-0.5774453768067609,0.5,2,0.05898644762146389,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,20,0.12,-0.23818481782664463,-10.50945842801764,0.42105263157894735,19,0.1925501927833911,0.01996474310059957,-0.617445376806761,0.5,2,0.05875139818439031,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,63,0.08,-0.23915281757418577,-10.492650951726358,0.4375,16,0.2168189464266334,0.5883989369139595,-0.8768363045412155,1.0,2,0.08356670860159982,False
