metal,mode,entry_usd_long,entry_usd_short,exit_usd,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xag,BOTH,0.042666666666666665,0.3581630515441684,0.010666666666666666,8,5,3,1.0,1.0,1.0,1409.9510249177058,747.8917890041065,1.8852339946066237,-402.4383917788807,96.25396973672818,4.049952025933004,92.44401771079517,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.2983458137551,266.42109651936494,2.992624669104622,-62.642015333639044,31.78021967064835,-1.52443663003663,33.54465630068498
xag,LONG,0.042666666666666665,0.3581630515441684,0.010666666666666666,6,6,0,1.0,1.0,,538.6350135944141,674.2243710682809,0.798895793014674,-402.43839177888066,58.6760093450067,1.6458548026048023,57.27015454240189,8,8,0,0.875,0.875,,548.6730072434984,199.88398363635872,2.7449573360598927,-44.19803704071995,21.97386195049367,0.924597847985348,21.289264102508323
xag,SHORT,0.042666666666666665,0.3581630515441684,0.010666666666666666,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.064,0.3581630515441684,0.0,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,7,5,2,0.7142857142857143,0.6,1.0,714.1130439423164,270.8423662808073,2.6366371470921552,-62.627564784188486,35.495550578898595,-2.3237407116692834,38.059291290567884
xag,LONG,0.064,0.3581630515441684,0.0,5,5,0,1.0,1.0,,490.80445920551006,673.5333354344898,0.728701065536566,-402.4383917788807,65.77999880492368,2.10740811965812,63.91259068526557,6,6,0,0.6666666666666666,0.6666666666666666,,465.41147718847844,205.33861130642464,2.2665560764602124,-58.337043627196095,23.025010939525682,0.5923625356125356,22.672648403913144
xag,SHORT,0.064,0.3581630515441684,0.0,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.064,0.3581630515441684,0.005333333333333333,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.5300921184307,266.4440314137209,2.9932368456025427,-62.627564784188486,31.794662312691784,-1.7933466083299419,33.82800892102173
xag,LONG,0.064,0.3581630515441684,0.005333333333333333,5,5,0,1.0,1.0,,490.80445920551006,673.5333354344898,0.728701065536566,-402.4383917788807,65.77999880492368,2.10740811965812,63.91259068526557,8,8,0,0.875,0.875,,548.8285253645928,199.9170466479446,2.7452812782447906,-44.183586491269395,21.979146549886245,0.4600300900488401,21.759116459837404
xag,SHORT,0.064,0.3581630515441684,0.005333333333333333,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.064,0.3581630515441684,0.010666666666666666,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.3289469772974,266.42241916008686,2.992724671936116,-62.627564784188486,31.78410840096565,-1.6680568986568987,33.69216529962255
