date,gc_comex_carry_2m,gc_comex_carry_4m,si_comex_carry_2m,gc_cal_curvature,gc_si_cal_ratio,gc_comex_lbma_basis,si_comex_lbma_basis,gc_si_comex_basis_spread,gc_comex_curve_slope,comex_lbma_slope_basis
2022-09-14,3.916409997424941,4.239783299964645,4.674506098219953,0.3233733025397041,0.8378232726910563,3.794309997424941,4.492106098219953,-0.6977961007950118,0.16168665126985204,0.2237866512698521
2022-09-15,3.8437602957865065,4.213433417129901,4.59414552721655,0.36967312134339414,0.8366648973166773,3.7216602957865064,4.411745527216549,-0.690085231430043,0.18483656067169707,0.18963656067169743
2022-09-16,3.902925370230788,4.215960674553724,4.384892758752184,0.3130353043229359,0.8900845664789871,3.780825370230788,4.202492758752184,-0.4216673885213962,0.15651765216146796,0.13386765216146834
2022-09-17,3.902925370230788,4.215960674553724,4.384892758752184,0.3130353043229359,0.8900845664789871,3.780825370230788,4.202492758752184,-0.4216673885213962,0.15651765216146796,0.13386765216146834
2022-09-18,3.902925370230788,4.215960674553724,4.384892758752184,0.3130353043229359,0.8900845664789871,3.780825370230788,4.202492758752184,-0.4216673885213962,0.15651765216146796,0.13386765216146834
2022-09-19,3.8785060027402105,4.2114121010267365,4.664484035913438,0.33290609828652595,0.8314973259375061,3.7564060027402104,4.482084035913438,-0.7256780331732275,0.16645304914326298,0.1550530491432629
2022-09-20,3.7102419412442647,4.121554268118167,4.860861264627274,0.41131232687390273,0.7632890015281608,3.5881419412442646,4.678461264627273,-1.0903193233830089,0.20565616343695137,0.19655616343695126
2022-09-21,3.6262924517359534,4.07424975741484,4.665567038071832,0.4479573056788868,0.7772458143125544,3.5041924517359533,4.483167038071832,-0.9789745863358785,0.2239786528394434,0.26632865283944374
2022-09-22,3.5411296325215376,4.025289489325717,4.422393758508173,0.48415985680417917,0.8007268972168782,3.4190296325215375,4.239993758508174,-0.8209641259866363,0.24207992840208958,0.33757992840208995
2022-09-23,3.819817518210561,4.214688038356651,4.4629001915891715,0.3948705201460898,0.8559047601847403,3.697717518210561,4.280500191589171,-0.5827826733786101,0.1974352600730449,0.21278526007304555
2022-09-24,3.819817518210561,4.214688038356651,4.4629001915891715,0.3948705201460898,0.8559047601847403,3.697717518210561,4.280500191589171,-0.5827826733786101,0.1974352600730449,0.21278526007304555
2022-09-25,3.819817518210561,4.214688038356651,4.4629001915891715,0.3948705201460898,0.8559047601847403,3.697717518210561,4.280500191589171,-0.5827826733786101,0.1974352600730449,0.21278526007304555
2022-09-26,3.6829644105378563,4.161971575006378,4.4390036193314675,0.47900716446852165,0.829682677999827,3.560864410537856,4.256603619331468,-0.6957392087936118,0.23950358223426083,0.23229358223426022
2022-09-27,3.6388835338436136,4.136408762655397,4.537989570491325,0.4975252288117833,0.8018712862422102,3.5167835338436135,4.3555895704913254,-0.8388060366477119,0.24876261440589165,0.20931261440589166
2022-09-28,3.5648039919271444,4.034427908051388,4.46999166435123,0.4696239161242435,0.797496787378134,3.4427039919271443,4.287591664351231,-0.8448876724240866,0.23481195806212174,0.27496195806212187
2022-09-29,3.7158347087167467,4.109974942793442,4.604742113415455,0.3941402340766951,0.8069582654566115,3.5937347087167466,4.422342113415455,-0.8286074046987086,0.19707011703834754,0.29447011703834747
