date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_comex_lbma_slope_basis,rate_regime
2018-06-05,,,,,,-0.12447270068082145,-0.6336236767032398,0.4535265203303305,,,mid
2018-06-06,,,,,,-0.4770998123889375,-1.2301273647342115,0.7710481781471593,,,mid
2018-06-07,,,,,,-0.9637791246669124,-1.5676099483966413,0.8195231983886518,,,mid
2018-06-08,,,,,,-0.39300170939226164,-1.6993627831550109,1.2075404856925467,,,mid
2018-06-09,,,,,,-0.3915804000157298,-1.678771422783197,1.198244593691959,,,mid
2018-06-10,,,,,,-0.3901744149839764,-1.6589120395695958,1.1891605552682951,,,mid
2018-06-11,,,,,,-0.28520615350208867,-1.6989307217550047,1.2782014411847282,,,mid
2018-06-12,,,,,,-0.4032091253479486,-1.7394849346168084,1.2638310797409142,,,mid
2018-06-13,,,,,,-0.4248071175359122,-1.8128321799626654,1.3232936794137578,,,mid
2018-06-14,,,,,,-0.23162267185121704,-1.859688709341851,1.4598367380173527,,,mid
2018-06-15,,,,,,-0.545786383130231,-1.798338674338143,1.2713810494812918,,,mid
2018-06-16,,,,,,-0.5436594140920683,-1.775629261152328,1.26140528631175,,,mid
2018-06-17,,,,,,-0.541557154084751,-1.753760190535471,1.2516611510966051,,,mid
2018-06-18,,,,,,0.09751866474534672,-1.9907347690414983,1.7509021466609038,,,mid
2018-06-19,,,,,,-0.03949786534875573,-2.214752477109934,1.8888680675448328,,,mid
2018-06-20,,,,,,0.06676935457911033,-1.7468692831270485,1.5366664648901927,,,mid
2018-06-21,,,,,,0.11580714769000132,-1.6470410526856314,1.474351121246356,,,mid
2018-06-22,,,,,,0.011217920378247488,-1.0920950611912172,0.9493869919881114,,,mid
2018-06-23,,,,,,0.011185636613293162,-1.0851964696310514,0.9441843552363176,,,mid
2018-06-24,,,,,,0.011153629967221771,-1.078427223683127,0.9390664836815285,,,mid
2018-06-25,,,,,,0.07932590115543364,-0.937646015366639,0.847345286737669,,,mid
2018-06-26,,,,,,-0.19808698124062302,-1.257507297264277,1.005093787939259,,,mid
2018-06-27,,,,,,-0.10051895667173426,-0.15617932979536636,0.09167874693282561,,,mid
2018-06-28,,,,,,-0.08465357979666083,0.44367285635857295,-0.4221344955020115,,,mid
2018-06-29,,,,,,-0.12911482592887782,0.8319014781434355,-0.7786702110315059,,,mid
2018-06-30,,,,,,-0.12875168789571884,0.8280012296228345,-0.7752044860178586,,,mid
2018-07-01,,,,,,-0.12839159697078248,0.8241554252099511,-0.7717847078385864,,,mid
2018-07-02,,,,,,-0.5276887691674658,3.1200879133993307,-2.9430263723403245,,,mid
2018-07-03,,,,,,-0.3299300694474356,3.0431849412337018,-2.8000490875707222,,,mid
2018-07-04,,,,,,-0.38725212631830663,2.9609503603761054,-2.7572418796562097,,,mid
2018-07-05,,,,,,-0.7346975059787537,2.823857573011663,-2.7741247431007032,,,mid
2018-07-06,,,,,,-0.1267813883717235,2.8255545948587226,-2.5432299686590465,,,mid
