ticker,display_name,final_score,date,close_price,roc_component,ma_component,rsi_component,price_ma_component,roc_1d,roc_5d,roc_20d,rsi,ma5_slope,ma20_slope,price_vs_ma20
GBPUSD=X,GBPUSD,-0.9,2026-01-18,1.3351670503616333,-0.16036774334143114,-0.46049125425644044,-0.39525697668398263,-0.08979817978323738,-0.22163777657729056,-0.31775837013799346,-0.17142588221536467,36.824767443867245,-0.06341956526716326,-0.008521370527740333,-0.7444204138321807
AUDUSD=X,AUDUSD,-0.1,2026-01-18,0.6673340201377869,-0.06628348866864292,-0.0014652347446977637,-0.24456331258240574,-0.045522835145752415,-0.4604545707524264,-0.186379264954627,1.088223617556655,41.847889580586475,-0.0372366315621358,0.05373196292262631,-0.22727643666627678
USDCAD=X,USDCAD,1.6,2026-01-18,1.3911800384521484,0.12929184219854575,0.46094444403997265,1.1283710875497628,0.05890957482890617,0.16849157722364677,-0.015087614833155912,0.9286334692561565,87.6123695849921,-0.0030227542330799407,0.046422696413607085,0.8622970391840681
CL=F,Oil,1.2,2026-01-16,59.34000015258789,-0.0032194141137468855,0.4967760344208344,0.27008289832406934,0.016460853308430643,0.25342376982455167,0.37212656406946126,6.077943527613083,59.00276327746898,0.07309496346525826,0.2928057256398951,1.9079840960489525
NG=F,Nat Gas,-4.3,2026-01-16,3.1029999256134033,-1.6451590582564024,-0.6603953984202506,-0.6836882982257477,-0.9887662383524208,-0.7992357800430083,-2.0826755004175896,-22.887679021298883,27.210390059141744,-0.40627876992800893,-1.2294756963146543,-16.122668446075057
HG=F,Copper,1.2,2026-01-16,5.830999851226807,-0.16351599689106294,0.4884291527697713,0.056070574658517676,-0.12018963369036165,-1.9670494939016472,-0.4184163453142923,8.716318125545927,51.86901915528392,-0.08230577001236836,0.4097496235452688,1.7968496585370788
PA=F,Palladium(PA),1.2,2026-01-16,1821.300048828125,-0.06678545444554611,0.5035508136177661,-0.23096481793554857,-0.18790249678134896,-2.027969401391877,-1.7107367065232058,8.14036941165181,42.301172735481714,-0.33649609200332337,0.3822884257393661,1.1830550505842932
PL=F,Platinum,2.3,2026-01-16,2322.699951171875,0.6586268105220608,0.5904728020072956,-0.14241747785757347,0.049380251342443046,-2.815901624607741,1.9488171615756975,20.179024672894883,45.252750738080884,0.37855450885601294,0.8781370894231265,3.6868704529372467
GC=F,Gold,1.7,2026-01-16,4595.39990234375,0.5486873501978929,0.5488837048654078,0.1337588527656357,0.16518952668721124,-0.452741442887391,2.340603127357648,5.702125413312249,54.45862842552119,0.4584239145366374,0.27833531296083813,2.9053951199199175
SI=F,Silver,5.2,2026-01-16,88.53700256347656,2.2281702317113896,0.8721565224776755,0.311143619071432,0.837433255773856,-3.6342427915565794,12.236954958293857,33.666988565525926,60.371453969047735,2.2338908458584066,1.4747089299918008,15.398027050194132
